kb index,description,web link
0,"Apache Error for One General Reason
This error may occur when attempting to access applications that have an index.php file (or other index file), but not an index.html or other specified ‘directory index’ file.
For example, phpMyAdmin includes an index.php file upon installation, but not an index.html file.",https://www.liquidweb.com/kb/apache-error-no-matching-directoryindex-index-html-found-solved/
,,https://stackoverflow.com/questions/49429267/ah01276-cannot-serve-directory-var-www-html-no-matching-directoryindex-inde
1,"My browser continuously prompts for a password but it's never accepted! The relevant error log should explain why this is happening. Common errors are: user foo: authentication failure for ""/"": Password Mismatch",https://stackoverflow.com/questions/24733244/configuring-apache2-ldap-and-understanding-ldap-configuration
,,https://stackoverflow.com/questions/15751242/apache-2-4-authentication-failure-password-mismatch
2,"You have passed invalid credentials (user name and/or password) when trying to connect to the database. This error comes because you are using the wrong Database, Username or Password.
If you are the Database Administrator, you can go to your cPanel and check the Database, Username, and Password and mention correct information. 
One more thing to remember that the user should be connected to the same database and also have All Privileges.",https://stackoverflow.com/questions/25174183/warning-mysqli-connect-hy000-1045-access-denied-for-user-usernameloca
3,"ParseError is thrown when an error occurs while parsing PHP code, such as when eval() is called.",https://stackoverflow.com/questions/26980104/parse-error-syntax-error-unexpected-return-t-return
,,https://www.php.net/manual/en/class.parseerror.php
,,https://stackoverflow.com/questions/18050071/php-parse-syntax-errors-and-how-to-solve-them
4,"Authentication is any process by which you verify that someone is who they claim they are. Authorization is any process by which someone is allowed to be where they want to go, or to have information that they want to have.",https://stackoverflow.com/questions/24115912/apache2-ldap-subgroup-check
5,"The require_once statement is identical to require except PHP will check if the file has already been included, and if so, not include (require) it again.",https://stackoverflow.com/questions/45242227/warning-require-oncedbconnect-php-failed-to-open-stream-no-such-file-or-dir
,,https://www.php.net/manual/pt_BR/function.require-once.php
6,"A PHP Error occurs when something is wrong in the PHP code. The error can be as simple as a missing semicolon, or as complex as calling an incorrect variable. Fatal errors are ones that crash your program and are classified as critical errors. An undefined function or class in the script is the main reason for this type of error.",https://phoenixnap.com/kb/php-error-types#htoc-fatal-error
,,https://stackoverflow.com/questions/5364233/php-fatal-error-failed-opening-required-file
7,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future. The most common causes of warning errors are: Calling on an external file that does not exist in the directory. Wrong parameters in a function.",https://stackoverflow.com/questions/36577020/php-failed-to-open-stream-no-such-file-or-directory
8,"Notice errors are minor errors. They are similar to warning errors, as they also don’t stop code execution. Often, the system is uncertain whether it’s an actual error or regular code. Notice errors usually occur if the script needs access to an undefined variable.",https://stackoverflow.com/questions/30775572/notice-undefined-index-variable
,,https://www.codeproject.com/Questions/1178949/Notice-undefined-index-email-in-C-xampp-htdocs-fin
9,"Notice errors are minor errors. They are similar to warning errors, as they also don’t stop code execution. Often, the system is uncertain whether it’s an actual error or regular code. Notice errors usually occur if the script needs access to an undefined variable.",https://stackoverflow.com/questions/21740133/php-notice-undefined-index
10,Looks like someone is scanning your website on different ports and looking for a specific file (r.php) which could be a backdoor or something similar.,https://stackoverflow.com/questions/16581569/script-engine7-php-not-found-or-unable-to-stat/17634982
,,https://serverfault.com/questions/690568/script-not-found-or-unable-to-stat-var-www-html-r-php
11,Fatal errors are ones that crash your program and are classified as critical errors. An undefined function or class in the script is the main reason for this type of error.,https://stackoverflow.com/questions/13170672/fatal-error-call-to-undefined-function-mysqli-in/13170690
,,https://stackoverflow.com/questions/42197191/call-to-undefined-function-mysqli
12,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future.",https://stackoverflow.com/questions/8634543/warning-include-config-config-php-function-include-failed-to-open-stream
,,https://teamtreehouse.com/community/php-include-files-not-working
13,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future. The most common causes of warning errors are: Calling on an external file that does not exist in the directory. Wrong parameters in a function.",https://stackoverflow.com/questions/13799755/php-warning-include-once-failed-opening-for-inclusion-include-path-c
,,https://stackoverflow.com/questions/41422033/warning-include-includes-db-php-failed-to-open-stream/41422110
14,"Notice errors are minor errors. They are similar to warning errors, as they also don’t stop code execution. Often, the system is uncertain whether it’s an actual error or regular code. Notice errors usually occur if the script needs access to an undefined variable.",https://stackoverflow.com/questions/27709948/use-of-undefined-constant-console
,,https://php.wekeepcoding.com/article/15593208/Use+of+undefined+constant+console
15,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future.",https://stackoverflow.com/questions/43741818/warning-log-expects-parameter-1-to-be-float-string-given-in/43741910
16,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future. The file_get_contents() reads a file into a string. This function is the preferred way to read the contents of a file into a string. It will use memory mapping techniques, if this is supported by the server, to enhance performance.",https://laracasts.com/discuss/channels/laravel/file-get-contentsuploadsrandomusermodelstxt-failed-to-open-stream-no-such-file-or-directory
,,https://stackoverflow.com/questions/42024691/warning-file-get-contents-failed-to-open-stream-no-such-file-or-directory
,,https://www.codeproject.com/Questions/171271/file-get-contents-url-failed-to-open-stream
17,Fatal errors are ones that crash your program and are classified as critical errors. An undefined function or class in the script is the main reason for this type of error. Compile time fatal error.,https://stackoverflow.com/questions/49221609/catchable-fatal-error-object-of-class-stdclass-could-not-be-converted-to-string
,,https://stackoverflow.com/questions/17961347/php-catchable-fatal-error-object-of-class-could-not-be-converted-to-string/17961415
18,"Notice errors are minor errors. They are similar to warning errors, as they also don’t stop code execution. Often, the system is uncertain whether it’s an actual error or regular code. Notice errors usually occur if the script needs access to an undefined variable.",https://stackoverflow.com/questions/10648984/php-sessions-that-have-already-been-started
,,https://stackoverflow.com/questions/13759187/php-a-session-had-already-been-started-ignoring-session-start-comes-only-in/13759474
19,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future. The most common causes of warning errors are: Calling on an external file that does not exist in the directory. Wrong parameters in a function.",https://stackoverflow.com/questions/18404932/warning-missing-argument-error-on-putting-stores-in-database
20,"For the same error, in a similar printing case, it was due to database collation; changing it to a UTF-8 helped me.",https://serverfault.com/questions/853103/500-internal-server-ah02429-response-header-name
,,https://github.com/bootlin/elixir/issues/20
,,https://stackoverflow.com/questions/54873865/internal-server-error-while-navigating-php-pages
21,Using password_hash is the recommended way to store passwords. Don't separate them to DB and files.,https://stackoverflow.com/questions/55147973/password-hash-expects-parameter-2-to-be-integer-string-given-when-project-u
22,"Notice errors are minor errors. They are similar to warning errors, as they also don’t stop code execution. Often, the system is uncertain whether it’s an actual error or regular code. Notice errors usually occur if the script needs access to an undefined variable.",https://stackoverflow.com/questions/22636826/notice-trying-to-get-property-of-non-object-error
,,https://forum.getkirby.com/t/trying-to-get-property-of-non-object-error/3486